Date,Value
1997-06-01,-0.705396735
1997-07-01,-0.61939802
1997-08-01,-0.496200189
1997-09-01,-0.399015841
1997-10-01,0.118342755
1997-11-01,-0.152196331
1997-12-01,-0.405259477
1998-01-01,-0.524630559
1998-02-01,-0.737398288
1998-03-01,-0.663929536
1998-04-01,-1.059467265
1998-05-01,-1.288598376
1998-06-01,-1.756448437
1998-07-01,-1.665275961
1998-08-01,-1.409415131
1998-09-01,-0.563881769
1998-10-01,-0.959419788
1998-11-01,-0.765145464
1998-12-01,-0.363635437
1999-01-01,0.041835723
1999-02-01,0.261309428
1999-03-01,0.013695356
1999-04-01,0.914097129
1999-05-01,1.222299608
1999-06-01,1.352120827
1999-07-01,1.384802614
1999-08-01,1.386795653
1999-09-01,0.667539978
1999-10-01,0.751688511
1999-11-01,0.452085832
1999-12-01,0.442519756
2000-01-01,-0.388721511
2000-02-01,-0.326961536
2000-03-01,-0.387149061
2000-04-01,-1.231147687
2000-05-01,-1.143608591
2000-06-01,-0.887106199
2000-07-01,-1.171697806
2000-08-01,-1.415406656
2000-09-01,-1.935478232
2000-10-01,-1.965073822
2000-11-01,-1.879736176
2000-12-01,-2.09216179
2001-01-01,-2.103545903
2001-02-01,-2.208033693
2001-03-01,-2.246118167
2001-04-01,-1.834759558
2001-05-01,-1.764952596
2001-06-01,-1.931209728
2001-07-01,-1.027953724
2001-08-01,-0.88697787
2001-09-01,-0.424002421
2001-10-01,-0.316899319
2001-11-01,0.115753892
2001-12-01,0.686402944
2002-01-01,0.719198245
2002-02-01,0.63974613
2002-03-01,0.960723619
2002-04-01,0.520403167
2002-05-01,0.607169713
2002-06-01,0.755600317
2002-07-01,0.005742369
2002-08-01,0.513752521
2002-09-01,0.05267516
2002-10-01,0.784146033
2002-11-01,0.339848977
2002-12-01,-0.071943719
2003-01-01,-0.20453741
2003-02-01,-0.620896011
2003-03-01,-1.24775369
2003-04-01,-1.193417345
2003-05-01,-1.528313544
2003-06-01,-1.46697987
2003-07-01,-1.441345686
2003-08-01,-0.875589484
2003-09-01,-0.66586289
2003-10-01,-1.688472861
2003-11-01,-1.717860262
2003-12-01,-1.591039642
2004-01-01,-1.576951887
2004-02-01,-1.605480365
2004-03-01,-1.330702334
2004-04-01,-1.074610931
2004-05-01,-0.040641219
2004-06-01,-0.465378306
2004-07-01,-0.058982087
2004-08-01,-0.500014445
2004-09-01,-0.716807186
2004-10-01,0.265187073
2004-11-01,0.711856031
2004-12-01,0.89719157
2005-01-01,1.215050894
2005-02-01,1.221062484
2005-03-01,0.765858405
2005-04-01,0.325911904
2005-05-01,-0.183709327
2005-06-01,0.953154865
2005-07-01,0.982439299
2005-08-01,0.726060513
2005-09-01,0.76624545
2005-10-01,0.326406735
2005-11-01,0.108303971
2005-12-01,-0.364837911
2006-01-01,-0.332742775
2006-02-01,-0.246161473
2006-03-01,0.278244317
2006-04-01,0.766573433
2006-05-01,0.659125775
2006-06-01,-0.372624655
2006-07-01,-0.865604175
2006-08-01,-0.826754171
2006-09-01,-0.928557285
2006-10-01,-1.250936994
2006-11-01,-1.249045511
2006-12-01,-1.084073675
2007-01-01,-1.214905899
2007-02-01,-0.663224107
2007-03-01,-0.508821922
2007-04-01,-1.164911483
2007-05-01,-1.293988813
2007-06-01,-1.056115332
2007-07-01,-0.909485478
2007-08-01,-0.645701313
2007-09-01,-0.247982497
2007-10-01,0.210438408
2007-11-01,0.230961529
2007-12-01,0.709526777
2008-01-01,0.831977889
2008-02-01,0.425354637
2008-03-01,0.124547695
2008-04-01,0.740661625
2008-05-01,0.945502184
2008-06-01,1.103377945
2008-07-01,1.467841291
2008-08-01,1.45505643
2008-09-01,1.427316477
2008-10-01,1.621700767
2008-11-01,1.478273994
2008-12-01,0.894024195
2009-01-01,0.767571346
2009-02-01,0.629901058
2009-03-01,0.715205824
2009-04-01,0.108911428
2009-05-01,-0.184802812
2009-06-01,0.451356411
2009-07-01,-0.025850635
2009-08-01,-0.468148603
2009-09-01,-0.230743735
2009-10-01,-0.730606142
2009-11-01,-0.419902846
2009-12-01,0.245528051
2010-01-01,0.151222692
2010-02-01,0.396408867
2010-03-01,0.44957045
2010-04-01,0.847604578
2010-05-01,1.455345754
2010-06-01,0.938318831
2010-07-01,1.323782391
2010-08-01,1.657384057
2010-09-01,1.408849552
2010-10-01,1.252701307
2010-11-01,0.711444255
2010-12-01,0.037230021
2011-01-01,0.120061462
2011-02-01,0.003534633
2011-03-01,-0.246703583
2011-04-01,-0.127403651
2011-05-01,-0.685507705
2011-06-01,-0.708384713
2011-07-01,-1.698193021
2011-08-01,-1.974058527
2011-09-01,-1.363265776
2011-10-01,-0.613454236
2011-11-01,-0.912358178
2011-12-01,-0.947671517
2012-01-01,-0.989147627
2012-02-01,-1.111645129
2012-03-01,-0.801063038
2012-04-01,-1.124565677
