Date,Value
1997-05-01,-1.281929142
1997-06-01,-0.703678931
1997-07-01,-0.521395294
1997-08-01,-0.579744963
1997-09-01,-0.490556291
1997-10-01,0.013453322
1997-11-01,-0.057971761
1997-12-01,-0.223107347
1998-01-01,-0.444460942
1998-02-01,-0.397071006
1998-03-01,-0.324095534
1998-04-01,-0.575967047
1998-05-01,-0.882702457
1998-06-01,-1.645162109
1998-07-01,-1.585964559
1998-08-01,-1.200499709
1998-09-01,-1.232310685
1998-10-01,-1.350483591
1998-11-01,-1.605469859
1998-12-01,-1.617054214
1999-01-01,-1.438206127
1999-02-01,-1.556322901
1999-03-01,-1.692469697
1999-04-01,-1.797722833
1999-05-01,-1.488151191
1999-06-01,-1.427411299
1999-07-01,-1.592458946
1999-08-01,-2.01307439
1999-09-01,-2.049236551
1999-10-01,-1.783878156
1999-11-01,-1.521941769
1999-12-01,-1.416158377
2000-01-01,-1.504725381
2000-02-01,-1.362012571
2000-03-01,-1.4157089
2000-04-01,-1.252779484
2000-05-01,-1.177588499
2000-06-01,-0.914338284
2000-07-01,-0.899592667
2000-08-01,-1.00114539
2000-09-01,-1.220413966
2000-10-01,-1.497641571
2000-11-01,-1.715523613
2000-12-01,-1.977102677
2001-01-01,-1.931357131
2001-02-01,-1.961904465
2001-03-01,-1.819137576
2001-04-01,-1.841789626
2001-05-01,-1.878954862
2001-06-01,-1.858436938
2001-07-01,-1.682132947
2001-08-01,-1.251623637
2001-09-01,-0.512257452
2001-10-01,-0.199332251
2001-11-01,0.444896272
2001-12-01,0.667633216
2002-01-01,0.420986182
2002-02-01,0.397319208
2002-03-01,0.775001636
2002-04-01,0.65839858
2002-05-01,0.702230843
2002-06-01,0.719908232
2002-07-01,0.454650541
2002-08-01,0.477356476
2002-09-01,-0.32975112
2002-10-01,-0.211832401
2002-11-01,-0.922169121
2002-12-01,-0.843352892
2003-01-01,-0.903413936
2003-02-01,-0.799278539
2003-03-01,-1.141090756
2003-04-01,-1.146143569
2003-05-01,-1.299782963
2003-06-01,-1.205290463
2003-07-01,-1.204523927
2003-08-01,-1.227278641
2003-09-01,-1.061429262
2003-10-01,-1.122661561
2003-11-01,-0.994186869
2003-12-01,-0.891933851
2004-01-01,-0.51813953
2004-02-01,-0.958921895
2004-03-01,-0.729762044
2004-04-01,-0.794504698
2004-05-01,-0.557476806
2004-06-01,-0.694155666
2004-07-01,-0.656758733
2004-08-01,-0.735833932
2004-09-01,-0.583777943
2004-10-01,-0.265243997
2004-11-01,-0.037371898
2004-12-01,-0.427345575
2005-01-01,-0.749866265
2005-02-01,-0.443865249
2005-03-01,-0.856196687
2005-04-01,-0.62598723
2005-05-01,-1.007847129
2005-06-01,-0.725738386
2005-07-01,-0.374174742
2005-08-01,-0.064153753
2005-09-01,-0.537767876
2005-10-01,-0.192107607
2005-11-01,-0.538456296
2005-12-01,-0.463722252
2006-01-01,-0.166718658
2006-02-01,-0.484676719
2006-03-01,-0.351808679
2006-04-01,-0.494123113
2006-05-01,-0.083594539
2006-06-01,-0.398239951
2006-07-01,-0.611691575
2006-08-01,-0.152889177
2006-09-01,-0.12435488
2006-10-01,-0.876718703
2006-11-01,-0.678322441
2006-12-01,-0.352940959
2007-01-01,-0.32007197
2007-02-01,0.578994417
2007-03-01,0.812949298
2007-04-01,0.811433488
2007-05-01,1.01071327
2007-06-01,0.999268232
2007-07-01,0.706909505
2007-08-01,1.165108373
2007-09-01,1.285421868
2007-10-01,1.256504896
2007-11-01,1.244936423
2007-12-01,1.421233296
2008-01-01,1.281969454
2008-02-01,0.797372983
2008-03-01,0.761766102
2008-04-01,0.838678822
2008-05-01,0.653813761
2008-06-01,0.870526821
2008-07-01,1.40128061
2008-08-01,1.010409477
2008-09-01,0.892398589
2008-10-01,1.55892138
2008-11-01,1.56476319
2008-12-01,1.332977345
2009-01-01,1.232473585
2009-02-01,1.085094895
2009-03-01,0.943730429
2009-04-01,0.7724058
2009-05-01,0.394453963
2009-06-01,0.671749642
2009-07-01,0.620877448
2009-08-01,0.451746744
2009-09-01,0.684566194
2009-10-01,0.216526547
2009-11-01,0.626458832
2009-12-01,0.949068817
2010-01-01,1.051137854
2010-02-01,1.48721301
2010-03-01,1.20246547
2010-04-01,1.287845937
2010-05-01,1.727759218
2010-06-01,1.177517826
2010-07-01,1.300352792
2010-08-01,1.089717895
2010-09-01,0.629616006
2010-10-01,1.435967292
2010-11-01,1.296837892
2010-12-01,1.1709038
2011-01-01,0.989841008
2011-02-01,0.793495386
2011-03-01,0.826434598
2011-04-01,0.93553551
2011-05-01,0.605232792
2011-06-01,0.448472879
2011-07-01,-0.134803594
2011-08-01,-0.390086199
2011-09-01,0.269907871
2011-10-01,-0.923467907
2011-11-01,-1.257043969
2011-12-01,-1.330161297
2012-01-01,-1.474000074
2012-02-01,-1.716114916
2012-03-01,-1.652087426
2012-04-01,-1.900432107
2012-05-01,-1.754224971
2012-06-01,-1.682453763
2012-07-01,-1.578095517
2012-08-01,-1.522595306
2012-09-01,-1.437758018
2012-10-01,-1.343554241
2012-11-01,-1.128715111
2012-12-01,-0.548412538
2013-01-01,-0.127664515
2013-02-01,0.235968817
2013-03-01,0.928667966
2013-04-01,1.463659712
2013-05-01,1.567045141
2013-06-01,1.675195387
2013-07-01,1.521283091
2013-08-01,1.626380075
2013-09-01,1.475869774
2013-10-01,1.440750465
2013-11-01,1.822164209
2013-12-01,1.720148246
2014-01-01,1.823950795
2014-02-01,2.183460561
2014-03-01,2.074944233
2014-04-01,2.043887386
2014-05-01,1.932416464
2014-06-01,2.155464489
2014-07-01,2.078236809
2014-08-01,2.000656634
2014-09-01,2.04935734
2014-10-01,1.880344098
2014-11-01,1.815091881
2014-12-01,1.685693243
2015-01-01,1.412461192
2015-02-01,0.780198659
2015-03-01,0.378716945
2015-04-01,0.055185011
2015-05-01,0.270024309
2015-06-01,-0.174671137
2015-07-01,0.051997541
2015-08-01,-0.129945499
2015-09-01,-0.160662828
2015-10-01,0.084326131
2015-11-01,-0.022912216
2015-12-01,-0.280633805
2016-01-01,-0.026624874
2016-02-01,0.048570326
2016-03-01,0.057914965
2016-04-01,-0.17413843
2016-05-01,0.299421124
2016-06-01,0.368572498
2016-07-01,0.376279437
2016-08-01,0.426630903
2016-09-01,0.401291876
2016-10-01,-0.179512722
2016-11-01,-0.253585052
2016-12-01,-0.409266453
2017-01-01,-0.631118892
2017-02-01,-0.822049361
2017-03-01,-0.75732117
2017-04-01,-0.471099092
2017-05-01,-1.032023562
2017-06-01,-0.659964261
2017-07-01,-0.900500217
2017-08-01,-0.894919131
2017-09-01,-0.871466576
2017-10-01,-0.111840224
2017-11-01,0.324607134
2017-12-01,0.395701603
2018-01-01,0.37914759
2018-02-01,0.29459307
2018-03-01,0.018502624
2018-04-01,0.31373076
2018-05-01,0.520972411
2018-06-01,0.469186798
2018-07-01,0.638349009
2018-08-01,0.482465072
2018-09-01,0.877189556
2018-10-01,0.562123714
2018-11-01,0.26845791
2018-12-01,0.314336983
2019-01-01,0.501356787
2019-02-01,0.427959092
2019-03-01,0.562065651
2019-04-01,-0.056003916
2019-05-01,-0.318406761
2019-06-01,-1.062923332
2019-07-01,-1.201704827
2019-08-01,-1.308303914
2019-09-01,-1.652413089
2019-10-01,-1.715149858
2019-11-01,-1.65571383
2019-12-01,-1.73593985
2020-01-01,-1.818047564
2020-02-01,-1.591066518
2020-03-01,-1.536991249
2020-04-01,-1.245036358
2020-05-01,-1.025797913
2020-06-01,-0.772595944
2020-07-01,-0.044791264
2020-08-01,-0.084688934
2020-09-01,0.622833984
2020-10-01,0.520842319
2020-11-01,0.499201653
2020-12-01,0.556508605
2021-01-01,0.992058174
2021-02-01,1.173220537
2021-03-01,1.210942583
2021-04-01,1.167898101
2021-05-01,0.754307463
2021-06-01,1.17973083
2021-07-01,0.99821408
2021-08-01,1.164913903
2021-09-01,0.845664577
2021-10-01,0.716998021
2021-11-01,0.528393603
