Value,Month,Year
-0.887106199,6,2000
-1.171697806,7,2000
-1.415406656,8,2000
-1.935478232,9,2000
-1.965073822,10,2000
-1.879736176,11,2000
-2.09216179,12,2000
-2.103545903,1,2001
-2.208033693,2,2001
-2.246118167,3,2001
-1.834759558,4,2001
-1.764952596,5,2001
-1.931209728,6,2001
-1.027953724,7,2001
-0.88697787,8,2001
-0.424002421,9,2001
-0.316899319,10,2001
0.115753892,11,2001
0.686402944,12,2001
0.719198245,1,2002
0.63974613,2,2002
0.960723619,3,2002
0.520403167,4,2002
0.607169713,5,2002
0.755600317,6,2002
0.005742369,7,2002
0.513752521,8,2002
0.05267516,9,2002
0.784146033,10,2002
0.339848977,11,2002
-0.071943719,12,2002
-0.20453741,1,2003
-0.620896011,2,2003
-1.24775369,3,2003
-1.193417345,4,2003
-1.528313544,5,2003
-1.46697987,6,2003
-1.441345686,7,2003
-0.875589484,8,2003
-0.66586289,9,2003
-1.688472861,10,2003
-1.717860262,11,2003
-1.591039642,12,2003
-1.576951887,1,2004
-1.605480365,2,2004
-1.330702334,3,2004
-1.074610931,4,2004
-0.040641219,5,2004
-0.465378306,6,2004
-0.058982087,7,2004
-0.500014445,8,2004
-0.716807186,9,2004
0.265187073,10,2004
0.711856031,11,2004
0.89719157,12,2004
1.215050894,1,2005
1.221062484,2,2005
0.765858405,3,2005
0.325911904,4,2005
-0.183709327,5,2005
0.953154865,6,2005
0.982439299,7,2005
0.726060513,8,2005
0.76624545,9,2005
0.326406735,10,2005
0.108303971,11,2005
-0.364837911,12,2005
-0.332742775,1,2006
-0.246161473,2,2006
0.278244317,3,2006
0.766573433,4,2006
0.659125775,5,2006
-0.372624655,6,2006
-0.865604175,7,2006
-0.826754171,8,2006
-0.928557285,9,2006
-1.250936994,10,2006
-1.249045511,11,2006
-1.084073675,12,2006
-1.214905899,1,2007
-0.663224107,2,2007
-0.508821922,3,2007
-1.164911483,4,2007
-1.293988813,5,2007
-1.056115332,6,2007
-0.909485478,7,2007
-0.645701313,8,2007
-0.247982497,9,2007
0.210438408,10,2007
0.230961529,11,2007
0.709526777,12,2007
0.831977889,1,2008
0.425354637,2,2008
0.124547695,3,2008
0.740661625,4,2008
0.945502184,5,2008
1.103377945,6,2008
1.467841291,7,2008
1.45505643,8,2008
1.427316477,9,2008
1.621700767,10,2008
1.478273994,11,2008
0.894024195,12,2008
0.767571346,1,2009
0.629901058,2,2009
0.715205824,3,2009
0.108911428,4,2009
-0.184802812,5,2009
0.451356411,6,2009
-0.025850635,7,2009
-0.468148603,8,2009
-0.230743735,9,2009
-0.730606142,10,2009
-0.419902846,11,2009
0.245528051,12,2009
0.151222692,1,2010
0.396408867,2,2010
0.44957045,3,2010
0.847604578,4,2010
1.455345754,5,2010
0.938318831,6,2010
1.323782391,7,2010
1.657384057,8,2010
1.408849552,9,2010
1.252701307,10,2010
0.711444255,11,2010
0.037230021,12,2010
0.120061462,1,2011
0.003534633,2,2011
-0.246703583,3,2011
-0.127403651,4,2011
-0.685507705,5,2011
-0.708384713,6,2011
-1.698193021,7,2011
-1.974058527,8,2011
-1.363265776,9,2011
-0.613454236,10,2011
-0.912358178,11,2011
-0.947671517,12,2011
-0.989147627,1,2012
-1.111645129,2,2012
-0.801063038,3,2012
-1.124565677,4,2012
-0.782000614,5,2012
-0.590084355,6,2012
0.765233804,7,2012
0.862166256,8,2012
